era,player,runs,balls_faced,innings,matches,strike_rate,avg_per_innings,boundary_pct,dot_pct,six_of_boundaries_pct,impact_score
2008-2012,GC Smith,731,664,2,29,110.09036144578313,365.5,15.210843373493976,44.42771084337349,8.91089108910891,0.23683725589314708
2008-2012,OA Shah,480,365,2,20,131.50684931506848,240.0,15.068493150684931,35.06849315068493,41.81818181818181,0.22865003222045052
2008-2012,AM Nayar,559,454,2,37,123.12775330396475,279.5,14.096916299559473,36.56387665198238,29.6875,0.22719050580186387
2008-2012,JR Hopes,417,305,2,19,136.72131147540983,208.5,19.672131147540984,36.39344262295082,18.333333333333332,0.22619846415743095
2008-2012,MJ Lumb,278,191,2,12,145.5497382198953,139.0,26.701570680628272,46.596858638743456,11.76470588235294,0.2141957923312357
2008-2012,PC Valthaty,493,397,2,22,124.18136020151134,246.5,20.151133501259448,51.13350125944584,25.0,0.2137600512716204
2008-2012,Mandeep Singh,482,393,2,23,122.64631043256998,241.0,16.793893129770993,40.71246819338422,12.121212121212121,0.2073073868677136
2008-2012,F du Plessis,397,303,2,12,131.02310231023102,198.5,15.181518151815181,34.65346534653465,36.95652173913043,0.2073043227589449
2008-2012,SPD Smith,350,262,2,14,133.58778625954199,175.0,13.740458015267176,26.33587786259542,36.11111111111111,0.20221002718093195
2008-2012,MA Agarwal,362,274,2,19,132.1167883211679,181.0,19.708029197080293,44.52554744525548,35.18518518518518,0.20149999474656755
2008-2012,SA Asnodkar,423,337,2,19,125.51928783382789,211.5,19.584569732937684,44.21364985163205,15.151515151515152,0.20005875583390362
2008-2012,MS Bisla,499,426,2,22,117.13615023474178,249.5,15.492957746478872,44.60093896713615,24.242424242424242,0.19786081570321604
2008-2012,WP Saha,372,290,2,26,128.2758620689655,186.0,14.482758620689657,36.206896551724135,38.095238095238095,0.19446591332928945
2008-2012,MV Boucher,387,307,2,23,126.05863192182409,193.5,14.332247557003258,34.85342019543974,27.27272727272727,0.1926459658207124
2008-2012,S Sohal,368,289,2,20,127.33564013840831,184.0,17.99307958477509,47.05882352941176,34.61538461538461,0.19117836376399203
2008-2012,MF Maharoof,177,123,2,14,143.90243902439025,88.5,17.073170731707318,34.959349593495936,42.857142857142854,0.1856128840130585
2008-2012,AD Mathews,375,304,2,19,123.35526315789474,187.5,12.171052631578947,31.907894736842106,32.432432432432435,0.18307228293152175
2008-2012,LR Shukla,371,300,2,28,123.66666666666666,185.5,15.333333333333332,39.0,32.608695652173914,0.18286816149501747
2008-2012,LA Pomersbach,243,184,2,13,132.06521739130434,121.5,17.391304347826086,39.130434782608695,37.5,0.17247748268833218
2008-2012,DB Ravi Teja,359,298,2,23,120.46979865771812,179.5,14.76510067114094,37.58389261744966,20.454545454545457,0.1720787239512666
2008-2012,M Manhas,466,430,2,31,108.37209302325581,233.0,11.162790697674419,38.604651162790695,18.75,0.16825719051938726
2008-2012,RS Bopara,386,333,2,14,115.91591591591592,193.0,12.912912912912914,36.93693693693694,23.25581395348837,0.1674161699704837
2008-2012,SM Katich,240,185,2,11,129.72972972972974,120.0,18.37837837837838,43.24324324324324,23.52941176470588,0.16599546056257367
