bowler,balls,runs,wickets,dots,matches,economy,sr,dot_pct,avg
Sohail Tanvir,247,255,24,130,11,6.194331983805668,10.291666666666666,52.63157894736842,10.625
BW Hilfenhaus,372,476,23,184,17,7.67741935483871,16.17391304347826,49.46236559139785,20.695652173913043
A Symonds,527,676,23,206,30,7.696394686907021,22.91304347826087,39.08918406072106,29.391304347826086
JP Duminy,678,815,23,242,48,7.212389380530973,29.47826086956522,35.693215339233035,35.43478260869565
VY Mahesh,339,475,22,127,17,8.4070796460177,15.409090909090908,37.46312684365782,21.59090909090909
AS Joseph,434,684,22,172,22,9.456221198156683,19.727272727272727,39.63133640552996,31.09090909090909
Shahbaz Ahmed,594,946,22,160,46,9.555555555555555,27.0,26.936026936026934,43.0
JP Behrendorff,366,546,22,146,17,8.950819672131148,16.636363636363637,39.89071038251366,24.818181818181817
WPUJC Vaas,282,352,22,134,13,7.48936170212766,12.818181818181818,47.5177304964539,16.0
RP Meredith,388,571,21,156,18,8.829896907216495,18.476190476190474,40.20618556701031,27.19047619047619
Mujeeb Ur Rahman,446,593,21,156,20,7.977578475336323,21.238095238095237,34.97757847533632,28.238095238095237
Bipul Sharma,426,566,21,139,28,7.971830985915494,20.285714285714285,32.629107981220656,26.952380952380953
K Gowtham,588,814,21,216,35,8.306122448979593,28.0,36.734693877551024,38.76190476190476
KW Richardson,335,465,21,136,15,8.328358208955224,15.952380952380953,40.59701492537313,22.142857142857142
Anureet Singh,412,606,21,152,22,8.825242718446603,19.61904761904762,36.89320388349515,28.857142857142858
Suyash Sharma,576,847,21,196,28,8.822916666666668,27.428571428571427,34.02777777777778,40.333333333333336
C Sakariya,444,603,20,154,20,8.14864864864865,22.2,34.68468468468468,30.15
J Suchith,420,587,20,142,21,8.385714285714286,21.0,33.80952380952381,29.35
BB Sran,483,724,20,175,24,8.993788819875776,24.15,36.231884057971016,36.2
C Green,439,645,20,160,29,8.815489749430524,21.95,36.44646924829157,32.25
CH Gayle,554,704,19,196,38,7.624548736462094,29.157894736842106,35.37906137184115,37.05263157894737
A Ashish Reddy,262,388,19,83,20,8.885496183206108,13.789473684210526,31.679389312977097,20.42105263157895
CRD Fernando,234,284,19,107,10,7.282051282051281,12.31578947368421,45.72649572649573,14.947368421052632
NT Ellis,378,533,19,124,17,8.46031746031746,19.894736842105264,32.804232804232804,28.05263157894737
AD Mascarenhas,308,362,19,130,13,7.051948051948052,16.210526315789473,42.2077922077922,19.05263157894737
IC Pandey,462,598,19,223,24,7.766233766233766,24.31578947368421,48.268398268398265,31.473684210526315
Kartik Tyagi,470,757,18,170,22,9.663829787234043,26.11111111111111,36.17021276595745,42.05555555555556
BJ Hodge,234,301,18,79,20,7.717948717948719,13.0,33.76068376068376,16.72222222222222
Mukesh Choudhary,315,498,17,132,16,9.485714285714286,18.529411764705884,41.904761904761905,29.294117647058822
R Rampaul,268,308,17,137,12,6.895522388059701,15.764705882352942,51.11940298507462,18.11764705882353
LR Shukla,314,438,17,117,27,8.369426751592357,18.470588235294116,37.261146496815286,25.764705882352942
E Malinga,184,280,17,65,9,9.130434782608695,10.823529411764707,35.32608695652174,16.470588235294116
D Wiese,296,434,17,86,15,8.797297297297298,17.41176470588235,29.054054054054053,25.529411764705884
VRV Singh,360,528,16,121,18,8.799999999999999,22.5,33.611111111111114,33.0
CR Brathwaite,254,366,16,78,16,8.645669291338583,15.875,30.708661417322837,22.875
AC Thomas,315,402,16,133,15,7.657142857142857,19.6875,42.22222222222222,25.125
ST Jayasuriya,294,381,16,86,21,7.775510204081632,18.375,29.25170068027211,23.8125
RG Sharma,339,447,16,94,32,7.911504424778761,21.1875,27.728613569321535,27.9375
